abap,Code Quality,Obsolete,
abap,Encapsulation,System Information Leak,
abap,Input Validation and Representation,Command Injection,
abap,Input Validation and Representation,Cross-Site Scripting,Persistent
abap,Input Validation and Representation,Cross-Site Scripting,Poor Validation
abap,Input Validation and Representation,Cross-Site Scripting,Reflected
abap,Input Validation and Representation,Denial of Service,
abap,Input Validation and Representation,Dynamic Code Evaluation,Code Injection
abap,Input Validation and Representation,Header Manipulation,
abap,Input Validation and Representation,Header Manipulation,Cookies
abap,Input Validation and Representation,Log Forging,
abap,Input Validation and Representation,Open Redirect,
abap,Input Validation and Representation,Path Manipulation,
abap,Input Validation and Representation,Process Control,
abap,Input Validation and Representation,Resource Injection,
abap,Input Validation and Representation,SQL Injection,
abap,Security Features,Access Control,Database
abap,Security Features,Access Control,Missing Authorization Check
abap,Security Features,Password Management,Empty Password
abap,Security Features,Password Management,Hardcoded Password
abap,Security Features,Password Management,Password in Comment
abap,Security Features,Privacy Violation,
actionscript,Code Quality,Portability Flaw,File Separator
actionscript,Encapsulation,Flash Misconfiguration,Overly Permissive Cross-Domain Policy
actionscript,Encapsulation,Flash Misconfiguration,Policy Restrictions Bypass
actionscript,Encapsulation,Flash Misconfiguration,Unauthorized Data Access
actionscript,Encapsulation,System Information Leak,
actionscript,Input Validation and Representation,Command Injection,
actionscript,Input Validation and Representation,Cross-Site Flashing,
actionscript,Input Validation and Representation,Cross-Site Scripting,Persistent
actionscript,Input Validation and Representation,Cross-Site Scripting,Poor Validation
actionscript,Input Validation and Representation,Cross-Site Scripting,Reflected
actionscript,Input Validation and Representation,Dynamic Code Evaluation,Code Injection
actionscript,Input Validation and Representation,Log Forging,
actionscript,Input Validation and Representation,Open Redirect,
actionscript,Input Validation and Representation,Path Manipulation,
actionscript,Input Validation and Representation,SQL Injection,
actionscript,Input Validation and Representation,Unsafe Reflection,
actionscript,Security Features,Access Control,Database
actionscript,Security Features,Password Management,
actionscript,Security Features,Password Management,Empty Password
actionscript,Security Features,Password Management,Hardcoded Password
actionscript,Security Features,Password Management,Null Password
actionscript,Security Features,Password Management,Password in Comment
actionscript,Security Features,Password Management,Weak Cryptography
actionscript,Security Features,Privacy Violation,
cfml,API Abuse,Obsolete,
cfml,Encapsulation,ColdFusion Bad Practices,Leftover Debug Code
cfml,Encapsulation,System Information Leak,
cfml,Errors,Poor Error Handling,Unhandled Exception
cfml,Input Validation and Representation,ColdFusion Bad Practices,Unauthorized Include
cfml,Input Validation and Representation,Command Injection,
cfml,Input Validation and Representation,Cross-Site Scripting,Persistent
cfml,Input Validation and Representation,Cross-Site Scripting,Poor Validation
cfml,Input Validation and Representation,Cross-Site Scripting,Reflected
cfml,Input Validation and Representation,Denial of Service,
cfml,Input Validation and Representation,Header Manipulation,
cfml,Input Validation and Representation,Header Manipulation,Cookies
cfml,Input Validation and Representation,Log Forging,
cfml,Input Validation and Representation,Path Manipulation,
cfml,Input Validation and Representation,Possible Variable Overwrite,
cfml,Input Validation and Representation,Resource Injection,
cfml,Input Validation and Representation,Setting Manipulation,
cfml,Input Validation and Representation,SQL Injection,
cfml,Input Validation and Representation,XPath Injection,
cfml,Security Features,Credential Management,
cfml,Security Features,Credential Management,Hardcoded Username
cfml,Security Features,Insecure Randomness,
cfml,Security Features,Password Management,
cfml,Security Features,Password Management,Empty Password
cfml,Security Features,Password Management,Hardcoded Password
cfml,Security Features,Password Management,Password in Comment
cfml,Security Features,Privacy Violation,
cfml,Security Features,Weak Cryptographic Hash,
cfml,Security Features,Weak Encryption,
cobol,Encapsulation,System Information Leak,
cobol,Errors,Poor Condition Handling,Ignored Condition
cobol,Input Validation and Representation,Cross-Site Scripting,Persistent
cobol,Input Validation and Representation,Cross-Site Scripting,Reflected
cobol,Input Validation and Representation,Header Manipulation,
cobol,Input Validation and Representation,Log Forging,
